title,description,country,year,genres,show_url,image_url
Волшебники из Вэйверли Плэйс,"Типичная семья из Нью-Йорка при ближайшем рассмотрении оказывается не такой уж и обычной! Джерри и Тереза  родители троих подростков, которые традиционно ходят в школу, влюбляются, проказничают. Однако от сверстников их отличает довольно значительная деталь  Алекс, Джастин и Макс волшебники! Повернуть время вспять и научиться водить ковер-самолет  эти задачи по плечу не каждому тинейджеру. Алекс из-за неумелого использования магии постоянно попадает в курьезные ситуации, а её старший брат Джастин, наоборот, усердно учит законы волшебства, его упорству можно позавидовать! В отличие от своего брата, Макс, самый младший в семье Руссо, не считает нужным слишком утруждать себя. Пожалуй, даже с такими необычными способностями семья могла бы жить спокойно, если бы не одна деталь. По достижению 18 лет только одному из детей будет позволено сохранить свои волшебные способности. Кто же победит в этом необычном соревновании?",США,2007,"Комедия, Семейный, Фэнтези",https://myshows.me/view/1290/,https://media.myshows.me/shows/760/e/25/e25d66274ef03b1deeebdcda5ab34467.jpg
Психо-паспорт,"События аниме происходят в 2112 году. В этом будущем можно путем сканирования мозга мгновенно измерить психическое состояние любого лица и вероятность совершения им преступлений. Эти данные составляют так называемый «психо-паспорт» каждого гражданина. Если индекс коэффициента преступности оказывается слишком высок, человек вынужден пройти принудительное лечение либо, при необходимости, подлежит уничтожению. Выполнением этой задачи занимаются специальные команды из Бюро общественной безопасности, состоящие из потенциальных преступников (так называемых «псов»), и инспекторов полиции, осуществляющих надзор над своими подопечными. Члены каждой команды получают особое оружие  Доминатор, способное открывать огонь только по тем, чей коэффициент преступности превышает допустимую норму. История повествует о Синье Когами, который должен раскрывать преступления в этом тёмном будущем.",Япония,2012,"Боевик, Аниме, Криминал, Фантастика",https://myshows.me/view/27823/,https://media.myshows.me/shows/760/f/88/f8822f64efe528bbb5be8ae09b3e5564.jpg
Братья по оружию,"В сериале рассказывается о боевом пути роты E («Easy») 2-го батальона 506-го парашютно-десантного полка 101-й воздушно-десантной дивизии США от тренировочного лагеря в Таккоа, штат Джорджия, через высадку в Нормандии, операцию «Маркет Гарден» и Бастонское сражение до конца войны.",США,2001,"Боевик, Драма, Военный",https://myshows.me/view/184/,https://media.myshows.me/shows/760/9/5d/95d9b300bf1a9363079a5e10ced40727.jpg
Паразит: Учение о жизни,"Паразиты Создания, живущие за счёт своего носителя, обладают совершенно нечеловеческой силой. Посланные небом должны проникать в мозг человека для полной власти над носителем. Но кому как повезёт Именно эта неудача одного паразита спасает жизнь школьника Шиничи Идзуми, живущего обычной жизнью. Но и эта же неудача делает его носителем этого загадочного существа, обрекая Шиничи на постоянную борьбу за выживание с другими, более сильными паразитами. Что же будет делать Шиничи, если его существование с паразитом в его организме ставит на кон жизни и его близких?",Япония,2014,"Аниме, Боевик, Ужасы",https://myshows.me/view/39018/,https://media.myshows.me/shows/760/c/2f/c2fa6be245af67155e6b1540ed47a2f8.jpg
Ван-Пис,"Это было во времена, когда пираты были владыками морей. Множество кораблей бороздили океаны, сражаясь между собой, в поисках величайшего в мире сокровища, имя которому One Piece. Эта благодать была собрана за долгие годы приключений легендарным пиратским капитаном, Золотым Роджером, который по праву заслужил титул Короля Пиратов. Наш главный герой — простой парнишка по имени Монки Д. Луффи, который всегда хотел стать пиратом. Однажды, он случайно съел один из Дьявольских фруктов, которые даруют людям нечеловеческие возможности, и стал резиновым человеком. Обратите внимание! Описание разбивки сезонов",Япония,1999,"Боевик, Приключения, Аниме, Комедия, Фэнтези",https://myshows.me/view/737/,https://media.myshows.me/shows/760/f/61/f61cc78742af32a5a1513caa53c580c0.jpg
Домашний арест,"Аркадий Аникеев — мэр провинциального города Синеозёрска. Перед очередными выборами его арестовывают за взяточничество. Пока ведется следствие, Аникеева посадили под домашний арест. Однако прописан он в коммунальной квартире, чтобы казаться обычным человеком для своих избирателей. Тем временем от бывшего мэра уходит жена, на которую и было записано всё его имущество, нажитое с помощью коррупции. Находясь под домашним арестом, Акинеев встречает своего друга детства Ивана Самсонова. Именно его герой пытается сделать новым мэром Синеозёрска, чтобы тот помог снять с него обвинения. Подробности сериала «Домашний арест» Идея шоу принадлежит комику Семёну Слепакову, бывшему КВН-щику и продюсеру других знаменитых сериалов ТНТ: « Универа » и « Интернов ». Главную роль в «Домашнем аресте» исполнил Павел Деревянко («Брестская крепость»).",Россия,2018,"Комедия, Драма",https://myshows.me/view/55797/,https://media.myshows.me/shows/760/8/bd/8bdd1835347f27a396c2eb2b19689f24.jpg
Хэппи!,"Ник Сакс — бывший полицейский, который живет как социальный изгой и заполняет дни алкоголем и наркотиками. А еще Ник подрабатывает киллером, чтобы получать деньги на свои вредные привычки. Однажды, очнувшись после сердечного приступа, Ник начинает видеть маленького синего крылатого единорога по имени Хэппи. Хэппи объясняет Саксу, что он — воображаемый друг маленькой девочки Хэйли, которая была похищена человеком, одетым как Санта-Клаус. Хэппи просит Ника помочь спасти Хэйли, которая, как оказывается, дочь Сакса. Подробности сериала «Хэппи!» Первый сезон телешоу, основанного на комиксе Гранта Моррисона «Хэппи!», получил отличные оценки: пользовательский рейтинг проекта на сайте Rotten Tomatoes — 95%, критики же дали сериалу 80% свежести. Хэппи озвучивал Пэттон Освальт (« Король Квинса »), а роль Ника исполнил Кристофер Мелони (« Поза »).",США,2017,"Криминал, Драма, Фэнтези",https://myshows.me/view/54629/,https://media.myshows.me/shows/760/a/3a/a3a23f9ef739982df496e41abe87aab0.jpg
Американский вандал,"«Американский вандал» — псевдодокументальный сериал, пародирующий true crime проекты. Мы следим за последствиями пранка, в котором обвинили старшеклассника Дилана Максвелла. Якобы Дилан нарисовал 27 пенисов на машинах, стоящих на школьной парковке. Дилан отрицает свою причастность, однако его все равно исключают. Второкурсник Питер и его друг Сэм решают начать свое собственное расследование, чтобы выяснить, действительно ли Дилан ничего не делал и кто на самом деле стоит за преступлением. Подробности сериала «Американский вандал» «Американский вандал» — это антология, поэтому во втором сезоне Питер (его играет Тайлер Альварес, снимавшийся в « Веронике Марс ») и Сэм (его роль исполнил Гриффин Глюк из « Красных браслетов ») расследуют уже совсем другое дело. Шоу собрало в основном положительные отзывы — на агрегаторе Metacritic рейтинг «Американского вандала» составляет 76.",США,2017,"Комедия, Криминал",https://myshows.me/view/54433/,https://media.myshows.me/shows/760/6/ec/6ec33e0a2430e316b46d0391deff4895.jpg
"Город, в котором меня нет","Жизнь мангаки нелегка. Тяжелый и кропотливый труд по достоинству вознаграждается в редких случаях. Авторские работы, в которые были вложены душа и нравоучительный посыл, не всегда достигают сердец читателей. Однажды понять, что ты пустой и скучный человек, не способный на большее  самый большой страх в жизни мангаки.Сатору Фуджинума тоже автор. В свои двадцать восемь лет он трудится не покладая рук, однако не все авторы гении, и далеко не у каждого получается выразить себя в своих работах. «Каким должен быть главный герой?», «Должен ли он быть достаточно похож на меня?», «Чего ему не хватает?», «Чего не хватает мне?». Такими вопросами ежедневно задается Сатору, и, как многие, боится однажды увидеть себя пустым и скучным. Но разве пустые и скучные люди могут так же ловко подмечать в своем окружении разные мелочи? Могут ли они, воспользовавшись этим, с безграничной самоотдачей помогать людям? Сатору может. Но признавать это в себе, то, что делает его далеко не посредственным, он не хочет. Впрочем, как и называть свой дар сверхъестественным. Ведь в сущности этот хмурый мангака имеет возможность не просто подмечать мелочи. Он может, хоть и непроизвольно, «откатывать» время назад, что уж точно нельзя назвать обычным.",Япония,2016,"Триллер, Фэнтези, Аниме, Детектив",https://myshows.me/view/47969/,https://media.myshows.me/shows/760/d/f8/df8c78e20c706098f26e84ef4c86c383.jpg
Воздействие,"Нейт Форд, бывший следователь страховой компании, возглавляет команду, в которую входят: компьютерный мошенник Хардисон, воровка и вообще безбашенная особа Паркер, актриса и мошенница Софи и специалист широкого профиля Эллиот. Эта команда помогает людям пострадавшим от рук сильных мира сего, а попросту  воров.",США,2008,"Боевик, Криминал, Драма",https://myshows.me/view/104/,https://media.myshows.me/shows/760/4/db/4db407b609ab0e3680270a11f4d4b35b.jpg
